Date,Dividends
2012-10-31,0.0168
2016-07-21,0.0211
2010-07-30,0.0192
2014-04-21,0.0199
2012-07-30,0.0193
2013-05-17,0.0098
2018-07-23,0.0215
2008-04-29,0.0015
2018-10-30,0.0215
2012-04-26,0.0193
2016-04-22,0.0211
2018-04-23,0.0215
2008-01-29,0.001
2011-01-27,0.0087
2015-01-22,0.0137
2017-01-24,0.0213
2008-10-29,0.0192
2013-01-29,0.007
2010-10-28,0.0194
2014-10-24,0.0135
2014-07-21,0.0135
2016-10-25,0.0212
2008-07-30,0.0011
2009-07-30,0.0019
2011-07-28,0.0158
2015-07-23,0.0207
2013-10-31,0.0196
2015-07-24,0.0207
2017-07-21,0.0214
2017-10-27,0.0214
2015-04-20,0.0206
2009-04-29,0.0019
2011-04-27,0.0158
2017-04-21,0.0214
2013-08-02,0.0086
2013-04-29,0.0174
2010-01-28,0.0192
2014-01-23,0.0197
2015-10-20,0.0208
2016-01-25,0.0209
2018-01-23,0.0215
2012-02-01,0.0193
2011-10-28,0.0192
2012-11-21,0.0095
