Date,Dividends
2016-10-27,0.0278
2008-04-28,0.0342
2012-04-24,0.023
2010-04-27,0.0223
2014-07-30,0.0269
2016-04-21,0.0273
2016-07-28,0.0274
2018-07-26,0.0281
2018-11-02,0.0435
2008-01-28,0.0231
2014-04-29,0.0257
2013-01-24,0.0081
2008-10-28,0.0364
2008-07-23,0.0346
2010-10-28,0.0236
2012-10-25,0.0242
2014-10-24,0.0272
2015-01-29,0.0286
2017-01-26,0.0288
2012-07-24,0.0238
2010-07-28,0.0229
2009-07-30,0.0213
2013-07-25,0.0253
2015-10-28,0.0298
2017-10-26,0.0278
2011-11-04,0.0102
2012-11-27,0.0155
2015-07-28,0.0271
2011-04-28,0.0229
2013-04-25,0.0246
2017-07-27,0.0275
2015-04-27,0.0268
2011-01-26,0.0236
2017-04-26,0.0273
2010-01-28,0.024
2012-01-26,0.0128
2018-04-26,0.0278
2011-10-24,0.0242
2009-10-28,0.0235
2014-01-29,0.0272
2016-01-28,0.0288
2011-07-25,0.0236
2009-04-23,0.0193
2013-10-29,0.0256
2018-01-30,0.029
