Date,Dividends
2010-07-29,0.019
2012-10-31,0.0271
2016-07-21,0.0304
2016-10-26,0.02815
2014-10-30,0.02711
2008-08-01,0.018
2014-07-29,0.00626
2008-04-30,0.0164
2012-07-31,0.026
2018-10-30,0.02862
2010-04-29,0.0133
2012-04-30,0.025
2014-04-28,0.0279
2018-07-30,0.03053
2008-01-30,0.0156
2011-01-28,0.0195
2013-01-28,0.024
2009-02-02,0.0161
2017-05-02,0.0304
2010-10-28,0.0216
2015-01-29,0.0275
2017-01-26,0.0289
2008-10-31,0.0205
2014-06-05,0.02288
2015-10-28,0.02859
2011-08-01,0.0195
2013-07-29,0.0285
2015-07-28,0.02903
2011-09-20,0.0207
2017-10-31,0.02948
2009-04-30,0.0178
2011-04-28,0.0207
2013-04-25,0.027
2017-07-28,0.02886
2015-04-28,0.02963
2012-01-27,0.0028
2016-04-28,0.03039
2014-01-27,0.025
2010-02-01,0.0262
2009-10-29,0.0204
2016-01-27,0.0287
2018-05-02,0.031
2018-01-29,0.03
2013-10-29,0.0298
