Date,Dividends
2014-07-25,0.019
2018-07-20,0.0142
2014-04-21,0.0117
2016-07-25,0.0161
2016-04-20,0.0168
2008-01-29,0.0469
2008-05-05,0.0427
2018-04-24,0.0142
2012-01-25,0.0245
2012-10-19,0.0196
2013-01-25,0.0197
2015-01-23,0.0026
2014-10-22,0.005
2012-07-20,0.0384
2018-10-19,0.0136
2010-07-26,0.0297
2016-10-24,0.019
2017-01-31,0.01
2013-04-19,0.0062
2015-04-17,0.017
2015-07-24,0.0172
2017-07-24,0.0098
2013-08-01,0.0073
2014-12-02,0.0125
2017-04-25,0.0105
2011-01-26,0.0338
2014-01-24,0.0197
2016-01-22,0.0168
2014-09-24,0.0117
2013-10-21,0.0124
2013-07-19,0.0197
2015-10-23,0.017
2011-07-25,0.0372
2013-02-27,0.0135
2017-10-24,0.014
2018-01-29,0.0143
