Date,Dividends
2017-02-01,0.0088
2012-04-25,0.0226
2014-04-23,0.0188
2016-04-22,0.0133
2016-07-28,0.0123
2017-05-16,0.0088
2018-11-01,0.0077
2018-07-31,0.0082
2014-10-21,0.0181
2015-01-27,0.0178
2012-10-24,0.0234
2011-05-10,0.0304
2016-10-21,0.012
2014-07-22,0.0186
2012-07-25,0.0227
2015-07-23,0.018
2017-10-27,0.0079
2018-02-01,0.0083
2011-08-02,0.0218
2013-04-24,0.0241
2015-04-24,0.0178
2013-09-19,0.022
2017-07-31,0.0081
2013-01-23,0.0241
2018-04-27,0.0088
2012-01-30,0.0217
2011-10-25,0.0214
2015-10-21,0.0177
2013-10-23,0.0018
2014-01-29,0.0219
2016-01-29,0.015
2013-07-23,0.024
