Date,Dividends
2012-11-01,0.01546
2014-10-30,0.0197
2017-02-01,0.0228
2012-07-31,0.01537
2016-11-01,0.0131
2018-10-30,0.0227
2014-07-31,0.0195
2014-04-29,0.01953
2016-08-01,0.027281
2017-08-02,0.0223
2015-01-27,0.0208
2017-05-02,0.0226
2013-01-30,0.0227
2011-11-02,0.01333
2013-10-30,0.01801
2011-08-02,0.009564
2013-07-30,0.01753
2017-10-31,0.0224
2015-07-29,0.0201
2013-04-26,0.01134
2015-04-28,0.02
2012-05-03,0.01554
2018-08-01,0.0223
2018-04-30,0.0227
2016-05-03,0.0202
2014-01-29,0.01865
2015-10-27,0.0202
2012-02-06,0.01428
2016-02-02,0.0208
2018-01-30,0.023
