Date,Dividends
2010-07-30,0.0091
2017-02-02,0.0126
2012-11-02,0.0111
2012-07-30,0.0108
2008-08-05,0.0178
2014-11-05,0.0127
2016-11-03,0.0131
2010-05-03,0.0095
2014-08-04,0.0125
2008-05-06,0.0156
2018-11-05,0.0115
2015-08-04,0.0099
2017-08-03,0.0118
2013-05-03,0.0137
2011-02-01,0.0104
2015-05-06,0.015
2009-02-05,0.0173
2017-05-04,0.0118
2010-11-01,0.01
2015-02-02,0.0129
2008-11-04,0.0178
2013-02-04,0.0113
2011-11-03,0.01
2013-10-31,0.0121
2011-07-29,0.0104
2018-02-02,0.0117
2013-07-29,0.0119
2015-11-02,0.0131
2017-11-02,0.012
2009-05-04,0.0187
2011-05-03,0.0107
2012-05-03,0.0107
2016-04-28,0.0126
2016-08-04,0.0096
2018-08-02,0.0109
2008-02-04,0.0149
2014-05-06,0.0095
2014-01-30,0.01
2018-05-03,0.0109
2012-02-03,0.0101
2016-02-01,0.0132
