Date,Dividends
2008-11-05,0.02854
2012-07-26,0.02361
2016-10-26,0.02535
2012-11-01,0.0235
2017-02-01,0.02596
2010-07-30,0.02528
2014-07-29,0.02266
2008-08-05,0.02793
2018-10-30,0.02491
2016-07-27,0.02501
2012-04-30,0.02453
2010-05-03,0.02513
2018-07-31,0.02474
2011-01-27,0.00593
2015-04-29,0.0223
2013-05-02,0.02228
2013-01-30,0.02326
2015-01-28,0.0258
2017-05-03,0.02425
2010-11-01,0.02502
2014-10-28,0.01848
2013-07-25,0.02249
2013-10-30,0.02289
2015-10-28,0.02075
2009-08-03,0.02977
2011-04-28,0.02388
2015-07-29,0.02261
2017-11-02,0.02483
2010-12-06,0.01677
2017-08-01,0.02493
2008-05-07,0.023876
2014-04-30,0.00124
2016-04-27,0.0208
2008-02-04,0.014127
2012-01-31,0.02479
2014-01-29,0.02089
2018-05-02,0.02433
2007-11-05,0.028268
2016-02-01,0.0275
2011-07-27,0.02532
2011-11-01,0.02533
2014-03-24,0.02096
2018-01-30,0.02604
