Date,Open,High,Low,Close,Adj Close,Volume
2007-11-06,2.52,2.52,2.45,2.46,1.13,3715501.0
2007-11-07,2.46,2.5,2.42,2.44,1.12,4744551.0
2007-11-09,2.38,2.43,2.35,2.4,1.1,3688719.0
2007-11-12,2.38,2.39,2.34,2.38,1.09,2575202.0
2007-11-13,2.38,2.39,2.32,2.33,1.07,3750524.0
2007-11-14,2.36,2.37,2.26,2.32,1.07,8286999.0
2007-11-15,2.33,2.33,2.26,2.27,1.04,4239812.0
2007-11-16,2.27,2.29,2.23,2.26,1.04,3156167.0
2007-11-19,2.26,2.27,2.22,2.24,1.03,2140508.0
2007-11-20,2.23,2.29,2.2,2.24,1.03,4224361.0
2007-11-21,2.23,2.23,2.19,2.19,1.01,2017928.0
2007-11-22,2.18,2.19,2.15,2.16,1.0,3705200.0
2007-11-23,2.19,2.2,2.16,2.18,1.0,2325922.0
2007-11-26,2.23,2.28,2.19,2.19,1.01,4895973.0
2007-11-27,2.18,2.22,2.1,2.16,1.0,5300795.0
2007-11-28,2.16,2.16,2.11,2.16,1.0,2660698.0
2007-11-29,2.21,2.22,2.16,2.19,1.01,4869191.0
2007-11-30,2.2,2.33,2.19,2.26,1.04,7787410.0
2007-12-03,2.32,2.32,2.24,2.26,1.04,4796055.0
2007-12-04,2.31,2.31,2.24,2.25,1.04,3365273.0
2007-12-05,2.24,2.27,2.19,2.25,1.04,3357033.0
2007-12-06,2.3,2.3,2.26,2.29,1.05,8783498.0
2007-12-07,2.33,2.38,2.32,2.32,1.07,2461893.0
2007-12-10,2.33,2.33,2.26,2.29,1.05,1834574.0
2007-12-11,2.32,2.35,2.29,2.32,1.07,1954063.0
2007-12-12,2.28,2.31,2.23,2.23,1.03,2642157.0
2007-12-13,2.28,2.31,2.24,2.27,1.04,2925429.0
2007-12-14,2.28,2.28,2.25,2.28,1.05,7166271.0
2007-12-17,2.24,2.28,2.19,2.2,1.01,3745373.0
2007-12-18,2.15,2.36,2.15,2.25,1.04,2740014.0
2007-12-19,2.31,2.38,2.29,2.31,1.06,6260830.0
2007-12-21,2.35,2.43,2.33,2.33,1.07,7871876.0
2007-12-24,2.33,2.37,2.32,2.35,1.08,2989294.0
2007-12-26,2.38,2.38,2.34,2.35,1.08,774621.0
2007-12-27,2.32,2.34,2.31,2.33,1.07,1215495.0
2007-12-28,2.33,2.35,2.26,2.32,1.07,1107337.0
2007-12-31,2.32,2.39,2.32,2.39,1.1,7701913.0
2008-01-02,2.29,2.35,2.29,2.29,1.05,1768648.0
2008-01-03,2.24,2.29,2.24,2.28,1.05,4063668.0
2008-01-04,2.31,2.34,2.24,2.34,1.08,5483119.0
2008-01-07,2.3,2.32,2.23,2.25,1.04,5553165.0
2008-01-08,2.35,2.36,2.22,2.22,1.02,5282254.0
2008-01-09,2.21,2.28,2.19,2.26,1.04,6372079.0
2008-01-10,2.27,2.31,2.24,2.27,1.04,11166074.0
2008-01-11,2.34,2.34,2.2,2.2,1.01,4209940.0
2008-01-14,2.2,2.26,2.11,2.16,1.0,4220240.0
2008-01-15,2.21,2.21,1.98,2.02,0.93,6504959.0
2008-01-16,1.97,2.06,1.97,1.98,0.91,7802861.0
2008-01-17,2.04,2.11,2.01,2.04,0.94,6280402.0
2008-01-18,2.05,2.15,2.04,2.13,0.98,4685837.0
2008-01-21,2.16,2.17,1.99,2.01,0.92,29288283.0
2008-01-22,1.91,2.07,1.79,1.99,0.92,7749297.0
2008-01-23,2.27,2.27,2.01,2.13,0.98,12989317.0
2008-01-24,2.22,2.27,2.14,2.23,1.03,16039386.0
2008-01-25,2.33,2.38,2.29,2.36,1.08,9226432.0
2008-01-28,2.35,2.35,2.15,2.16,1.01,4939237.0
2008-01-29,2.23,2.26,2.16,2.19,1.02,2271328.0
2008-01-30,2.16,2.2,2.07,2.09,0.97,2683360.0
2008-01-31,2.18,2.19,2.08,2.11,0.98,5069027.0
2008-02-01,2.11,2.18,2.1,2.11,0.98,3278747.0
2008-02-04,2.16,2.26,2.1,2.26,1.06,3572320.0
2008-02-05,2.23,2.23,2.14,2.23,1.04,2528848.0
2008-02-06,2.11,2.17,2.09,2.14,1.0,2219824.0
2008-02-11,2.15,2.15,2.01,2.05,0.96,8428120.0
2008-02-12,2.09,2.13,2.01,2.04,0.95,8987454.0
2008-02-13,2.08,2.09,2.01,2.04,0.95,4814597.0
2008-02-14,2.11,2.11,2.05,2.08,0.97,3838080.0
2008-02-15,2.05,2.12,2.04,2.12,0.99,2826541.0
2008-02-18,2.16,2.18,2.08,2.17,1.02,3155137.0
2008-02-19,2.22,2.24,2.18,2.2,1.03,2317681.0
2008-02-20,2.2,2.23,2.15,2.15,1.0,2854353.0
2008-02-21,2.18,2.18,2.11,2.15,1.0,18495098.0
2008-02-22,2.15,2.25,2.12,2.21,1.03,3633094.0
2008-02-25,2.24,2.25,2.16,2.22,1.04,1184593.0
2008-02-26,2.24,2.26,2.14,2.14,1.0,3387935.0
2008-02-27,2.17,2.23,2.17,2.17,1.02,1863416.0
2008-02-28,2.16,2.22,2.14,2.21,1.03,4975289.0
2008-02-29,2.27,2.27,2.13,2.18,1.02,4609611.0
2008-03-03,2.07,2.11,2.04,2.06,0.96,7985185.0
2008-03-04,2.04,2.08,2.03,2.05,0.96,4525144.0
2008-03-05,2.09,2.11,2.04,2.06,0.96,5494450.0
2008-03-06,2.1,2.13,2.05,2.09,0.97,2613315.0
2008-03-07,2.04,2.07,2.03,2.04,0.95,7400099.0
2008-03-10,1.99,2.0,1.94,1.94,0.91,4329429.0
2008-03-11,1.94,1.95,1.89,1.91,0.89,5304915.0
2008-03-12,1.99,2.01,1.88,1.89,0.88,10529484.0
2008-03-13,1.91,1.96,1.84,1.84,0.86,8792768.0
2008-03-14,1.87,1.91,1.86,1.91,0.89,4936146.0
2008-03-17,1.88,1.88,1.85,1.86,0.87,7880117.0
2008-03-18,1.88,1.92,1.86,1.9,0.89,10135993.0
2008-03-19,2.0,2.04,1.96,2.0,0.93,11851078.0
2008-03-20,1.92,1.94,1.89,1.92,0.9,7721484.0
2008-03-24,1.99,2.07,1.99,2.06,0.96,9995903.0
