Date,Open,High,Low,Close,Adj Close,Volume
2007-11-05,2.86,2.87,2.79,2.81,1.53,8814211.0
2007-11-06,2.84,2.87,2.76,2.84,1.55,6818333.0
2007-11-07,2.84,2.86,2.78,2.86,1.56,6924926.0
2007-11-09,2.76,2.82,2.74,2.76,1.51,9696367.0
2007-11-12,2.74,2.76,2.71,2.76,1.51,6877143.0
2007-11-13,2.74,2.76,2.71,2.71,1.48,5170416.0
2007-11-14,2.76,2.76,2.68,2.74,1.5,8135441.0
2007-11-15,2.74,2.74,2.63,2.68,1.46,5230451.0
2007-11-16,2.63,2.68,2.61,2.64,1.44,4057919.0
2007-11-19,2.61,2.66,2.6,2.63,1.43,3124303.0
2007-11-20,2.66,2.68,2.56,2.63,1.43,6010915.0
2007-11-21,2.58,2.6,2.55,2.58,1.41,4930273.0
2007-11-22,2.55,2.61,2.53,2.56,1.4,3531075.0
2007-11-23,2.56,2.58,2.53,2.55,1.39,1152929.0
2007-11-26,2.58,2.66,2.56,2.64,1.44,4884940.0
2007-11-27,2.63,2.63,2.56,2.63,1.43,4686455.0
2007-11-28,2.61,2.63,2.55,2.6,1.42,2751837.0
2007-11-29,2.58,2.61,2.56,2.61,1.43,5764646.0
2007-11-30,2.63,2.63,2.56,2.63,1.43,7756849.0
2007-12-03,2.63,2.66,2.56,2.58,1.41,3526175.0
2007-12-04,2.56,2.6,2.53,2.6,1.42,4648473.0
2007-12-05,2.56,2.64,2.55,2.61,1.43,5454666.0
2007-12-06,2.64,2.76,2.64,2.69,1.47,11792714.0
2007-12-07,2.78,2.87,2.73,2.73,1.49,11140898.0
2007-12-10,2.76,2.76,2.68,2.71,1.48,5796502.0
2007-12-11,2.79,2.81,2.68,2.71,1.48,5517152.0
2007-12-12,2.63,2.73,2.63,2.73,1.49,4511249.0
2007-12-13,2.74,2.84,2.66,2.68,1.46,8756626.0
2007-12-14,2.68,2.69,2.6,2.69,1.47,3831254.0
2007-12-17,2.71,2.71,2.58,2.58,1.41,4646023.0
2007-12-18,2.6,2.64,2.53,2.58,1.41,6290264.0
2007-12-19,2.68,2.71,2.61,2.63,1.43,5974158.0
2007-12-21,2.61,2.81,2.61,2.69,1.47,9198929.0
2007-12-24,2.78,2.79,2.71,2.73,1.49,1556026.0
2007-12-26,2.76,2.82,2.71,2.78,1.52,3339942.0
2007-12-27,2.82,2.82,2.78,2.79,1.52,4500222.0
2007-12-28,2.79,2.82,2.67,2.82,1.54,6601469.0
2007-12-31,2.65,2.87,2.65,2.82,1.54,9648584.0
2008-01-02,2.8,2.82,2.73,2.82,1.54,2984629.0
2008-01-03,2.73,2.77,2.71,2.72,1.48,4263755.0
2008-01-04,2.7,2.73,2.67,2.73,1.49,3384049.0
2008-01-07,2.7,2.7,2.6,2.64,1.44,6461794.0
2008-01-08,2.64,2.64,2.59,2.61,1.43,3295834.0
2008-01-09,2.54,2.66,2.54,2.6,1.42,6434840.0
2008-01-10,2.62,2.62,2.57,2.58,1.41,6668856.0
2008-01-11,2.62,2.64,2.52,2.52,1.38,5575963.0
2008-01-14,2.6,2.6,2.49,2.51,1.37,4642347.0
2008-01-15,2.56,2.56,2.34,2.42,1.32,5970482.0
2008-01-16,2.29,2.46,2.29,2.37,1.29,4740365.0
2008-01-17,2.4,2.42,2.29,2.36,1.29,9394964.0
2008-01-18,2.32,2.39,2.24,2.33,1.27,6837936.0
2008-01-21,2.33,2.34,2.11,2.16,1.18,38100573.0
2008-01-22,2.04,2.17,2.04,2.17,1.19,12279125.0
2008-01-23,2.3,2.53,2.29,2.41,1.31,12868454.0
2008-01-24,2.51,2.54,2.37,2.37,1.29,8689239.0
2008-01-25,2.46,2.61,2.46,2.6,1.42,9228334.0
2008-01-28,2.52,2.53,2.41,2.41,1.33,4405880.0
2008-01-29,2.45,2.46,2.35,2.35,1.29,5797727.0
2008-01-30,2.33,2.39,2.31,2.38,1.31,3920694.0
2008-01-31,2.45,2.51,2.39,2.42,1.33,8359656.0
2008-02-01,2.44,2.5,2.43,2.46,1.35,6739919.0
2008-02-04,2.53,2.6,2.5,2.51,1.38,8722320.0
2008-02-05,2.57,2.57,2.43,2.46,1.35,7048673.0
2008-02-06,2.38,2.44,2.33,2.42,1.33,2974827.0
2008-02-11,2.45,2.46,2.33,2.33,1.28,4159612.0
2008-02-12,2.33,2.42,2.33,2.39,1.32,2204165.0
2008-02-13,2.48,2.55,2.46,2.46,1.35,5600467.0
2008-02-14,2.54,2.56,2.51,2.51,1.38,4041991.0
2008-02-15,2.51,2.57,2.51,2.55,1.4,5348072.0
2008-02-18,2.55,2.56,2.53,2.55,1.41,6314768.0
2008-02-19,2.53,2.6,2.53,2.57,1.42,4643572.0
2008-02-20,2.6,2.69,2.56,2.6,1.43,7259411.0
2008-02-21,2.66,2.71,2.6,2.65,1.46,35231115.0
2008-02-22,2.65,2.72,2.64,2.68,1.47,5513476.0
2008-02-25,2.72,2.72,2.67,2.69,1.48,3917019.0
2008-02-26,2.69,2.73,2.64,2.64,1.46,4670527.0
2008-02-27,2.68,2.76,2.68,2.7,1.49,4268656.0
2008-02-28,2.69,2.73,2.66,2.73,1.51,5343171.0
2008-02-29,2.76,2.78,2.67,2.67,1.47,7281465.0
2008-03-03,2.59,2.68,2.59,2.61,1.44,6470371.0
2008-03-04,2.65,2.69,2.6,2.6,1.43,7552238.0
2008-03-05,2.64,2.64,2.56,2.57,1.42,4187792.0
2008-03-06,2.61,2.61,2.54,2.54,1.4,11220537.0
2008-03-07,2.48,2.5,2.46,2.49,1.37,3517598.0
2008-03-10,2.42,2.48,2.38,2.38,1.31,6580641.0
2008-03-11,2.35,2.4,2.3,2.38,1.31,8819112.0
2008-03-12,2.47,2.55,2.42,2.53,1.39,8191801.0
2008-03-13,2.42,2.48,2.41,2.47,1.36,5378703.0
2008-03-14,2.49,2.52,2.45,2.51,1.38,3673201.0
2008-03-17,2.51,2.53,2.44,2.46,1.36,9401090.0
2008-03-18,2.45,2.5,2.42,2.5,1.38,7274113.0
2008-03-19,2.58,2.66,2.48,2.53,1.39,10301625.0
2008-03-20,2.52,2.54,2.42,2.54,1.4,5098128.0
2008-03-24,2.61,2.69,2.57,2.69,1.48,7473824.0
2008-03-25,2.73,2.81,2.7,2.78,1.53,8767653.0
2008-03-26,2.82,2.82,2.73,2.78,1.53,6335597.0
2008-03-27,2.75,2.81,2.73,2.81,1.55,5310090.0
2008-03-28,2.81,2.81,2.73,2.73,1.5,8197927.0
2008-03-31,2.8,2.82,2.78,2.82,1.55,10970593.0
2008-04-01,2.81,2.86,2.77,2.82,1.55,5212073.0
2008-04-02,2.9,2.9,2.85,2.89,1.59,7857317.0
2008-04-03,2.92,2.92,2.86,2.89,1.59,6744820.0
2008-04-04,2.84,2.84,2.73,2.79,1.54,4440186.0
2008-04-07,2.76,2.82,2.73,2.77,1.52,6787702.0
2008-04-08,2.78,2.83,2.73,2.75,1.52,9072732.0
2008-04-09,2.78,2.85,2.75,2.77,1.52,6073401.0
2008-04-10,2.8,2.83,2.78,2.82,1.55,5251280.0
2008-04-11,2.85,2.92,2.85,2.91,1.61,6695811.0
2008-04-14,2.85,2.87,2.82,2.86,1.57,3510247.0
2008-04-15,2.82,2.91,2.82,2.86,1.57,3168411.0
2008-04-16,2.88,2.94,2.87,2.92,1.61,2871909.0
2008-04-17,2.94,2.98,2.92,2.94,1.62,3533526.0
2008-04-18,2.94,2.95,2.79,2.82,1.55,4561483.0
2008-04-21,2.86,2.9,2.82,2.84,1.56,4478168.0
2008-04-22,2.85,2.9,2.81,2.88,1.59,2383047.0
2008-04-23,2.9,2.9,2.83,2.83,1.56,2147805.0
2008-04-24,2.82,2.9,2.82,2.82,1.56,2657496.0
2008-04-25,2.87,2.91,2.86,2.9,1.6,2153931.0
2008-04-28,2.88,2.91,2.82,2.86,1.59,1711628.0
2008-04-29,2.83,2.88,2.83,2.86,1.59,3556805.0
2008-04-30,2.84,2.9,2.83,2.84,1.58,12620960.0
2008-05-02,2.92,2.95,2.86,2.95,1.65,10296724.0
2008-05-05,2.99,3.06,2.95,3.06,1.71,7169970.0
2008-05-06,3.04,3.04,2.95,2.97,1.66,4244152.0
2008-05-07,3.0,3.0,2.89,2.91,1.62,2706504.0
2008-05-08,2.9,2.9,2.82,2.86,1.59,3567832.0
2008-05-09,2.86,2.86,2.81,2.84,1.58,2944196.0
2008-05-12,2.86,2.87,2.82,2.84,1.58,882156.0
2008-05-13,2.82,2.86,2.82,2.83,1.58,1863555.0
2008-05-14,2.86,2.93,2.81,2.91,1.62,3199042.0
2008-05-15,2.95,2.97,2.91,2.94,1.64,2773891.0
2008-05-16,2.96,3.04,2.95,3.0,1.67,7226330.0
2008-05-20,3.0,3.04,2.9,2.94,1.64,5400757.0
2008-05-21,2.91,3.01,2.89,2.96,1.65,6559812.0
2008-05-22,2.91,2.91,2.84,2.86,1.6,2795945.0
2008-05-23,2.73,2.76,2.61,2.75,1.53,33975267.0
2008-05-26,2.74,2.77,2.63,2.65,1.48,8983291.0
2008-05-27,2.69,2.69,2.65,2.67,1.49,3227222.0
2008-05-28,2.65,2.68,2.64,2.67,1.49,6266985.0
2008-05-29,2.68,2.79,2.68,2.78,1.55,8776229.0
2008-05-30,2.76,2.79,2.7,2.7,1.51,10155824.0
2008-06-02,2.73,2.77,2.7,2.77,1.54,5194920.0
2008-06-03,2.74,2.77,2.73,2.75,1.53,4973156.0
2008-06-04,2.78,2.78,2.69,2.71,1.51,7346401.0
2008-06-05,2.73,2.73,2.69,2.73,1.52,4448763.0
2008-06-06,2.75,2.75,2.72,2.73,1.52,3447761.0
2008-06-09,2.64,2.7,2.63,2.67,1.49,7276564.0
2008-06-10,2.67,2.68,2.62,2.65,1.48,6857540.0
2008-06-11,2.64,2.66,2.57,2.57,1.43,7506905.0
2008-06-12,2.53,2.55,2.48,2.53,1.41,6743594.0
2008-06-13,2.51,2.55,2.47,2.47,1.38,3232122.0
2008-06-16,2.48,2.59,2.47,2.55,1.42,2690577.0
2008-06-17,2.59,2.59,2.51,2.55,1.42,4403430.0
2008-06-18,2.55,2.59,2.54,2.54,1.41,2302183.0
2008-06-19,2.54,2.56,2.48,2.52,1.41,4793049.0
2008-06-20,2.51,2.55,2.46,2.46,1.37,3366896.0
2008-06-23,2.4,2.47,2.4,2.44,1.36,4075072.0
2008-06-24,2.48,2.49,2.37,2.4,1.34,5109155.0
2008-06-25,2.4,2.46,2.35,2.42,1.35,4557807.0
2008-06-26,2.41,2.45,2.37,2.41,1.34,4989084.0
2008-06-27,2.36,2.39,2.34,2.37,1.32,6260859.0
2008-06-30,2.43,2.45,2.41,2.44,1.36,10786810.0
2008-07-01,2.45,2.46,2.42,2.43,1.36,7151592.0
2008-07-02,2.41,2.55,2.4,2.51,1.4,11068610.0
2008-07-03,2.53,2.55,2.47,2.52,1.41,4680329.0
2008-07-04,2.5,2.55,2.49,2.55,1.42,3959901.0
2008-07-07,2.56,2.63,2.55,2.57,1.43,6632100.0
2008-07-08,2.58,2.62,2.49,2.49,1.39,7936956.0
2008-07-09,2.51,2.58,2.51,2.57,1.43,3902316.0
2008-07-10,2.53,2.55,2.51,2.55,1.42,1772889.0
2008-07-11,2.56,2.56,2.49,2.54,1.41,4279683.0
