Date,Open,High,Low,Close,Adj Close,Volume
2011-04-27,0.87,0.88,0.86,0.86,0.53,139190958
2011-04-28,0.86,0.87,0.86,0.86,0.53,23139881
2011-04-29,0.87,0.87,0.85,0.86,0.53,22390671
2011-05-03,0.86,0.86,0.85,0.86,0.53,20312251
2011-05-04,0.86,0.86,0.85,0.85,0.52,8262714
2011-05-05,0.85,0.86,0.85,0.85,0.52,5289320
2011-05-06,0.85,0.85,0.84,0.85,0.52,15175832
2011-05-09,0.85,0.86,0.85,0.85,0.52,8862082
2011-05-10,0.85,0.85,0.85,0.85,0.52,1722673
2011-05-11,0.85,0.85,0.85,0.85,0.52,2100846
2011-05-12,0.85,0.85,0.84,0.85,0.52,6362677
2011-05-13,0.85,0.85,0.84,0.84,0.52,6630762
2011-05-16,0.84,0.85,0.84,0.84,0.52,6054839
2011-05-18,0.84,0.84,0.84,0.84,0.52,3673677
2011-05-19,0.84,0.85,0.84,0.85,0.52,2982569
2011-05-20,0.84,0.85,0.84,0.84,0.52,4736841
2011-05-23,0.84,0.84,0.83,0.84,0.52,8439059
2011-05-24,0.84,0.84,0.83,0.84,0.52,11371680
2011-05-25,0.84,0.85,0.84,0.85,0.52,6970200
2011-05-26,0.84,0.85,0.84,0.85,0.52,5368828
2011-05-27,0.85,0.85,0.84,0.85,0.52,9310589
2011-05-30,0.85,0.87,0.85,0.86,0.53,22352956
2011-05-31,0.86,0.87,0.86,0.86,0.53,29547409
2011-06-01,0.87,0.87,0.86,0.86,0.53,5823450
2011-06-02,0.85,0.86,0.85,0.85,0.52,2695117
2011-06-03,0.85,0.86,0.85,0.86,0.53,1442356
2011-06-06,0.86,0.86,0.86,0.86,0.53,1008120
2011-06-07,0.86,0.86,0.85,0.86,0.53,2550371
2011-06-08,0.86,0.86,0.85,0.85,0.52,4135434
2011-06-09,0.85,0.86,0.85,0.85,0.52,3046787
2011-06-10,0.85,0.86,0.85,0.85,0.52,2801127
2011-06-13,0.85,0.85,0.84,0.85,0.52,5419794
2011-06-14,0.84,0.85,0.84,0.84,0.52,4288334
2011-06-15,0.84,0.85,0.84,0.84,0.52,3643097
2011-06-16,0.84,0.85,0.83,0.83,0.51,7775473
2011-06-17,0.84,0.84,0.83,0.84,0.52,13576498
2011-06-20,0.84,0.84,0.84,0.84,0.52,3487139
2011-06-21,0.84,0.85,0.84,0.84,0.52,2417858
2011-06-22,0.84,0.84,0.83,0.83,0.51,3470829
2011-06-23,0.83,0.85,0.83,0.85,0.52,3296523
2011-06-24,0.85,0.85,0.85,0.85,0.52,3459617
2011-06-27,0.85,0.85,0.84,0.85,0.52,749210
2011-06-28,0.84,0.86,0.84,0.86,0.53,2053956
2011-06-29,0.86,0.86,0.85,0.85,0.52,1836838
2011-06-30,0.85,0.85,0.85,0.85,0.52,2072304
2011-07-01,0.85,0.86,0.85,0.86,0.53,2007067
2011-07-04,0.86,0.86,0.85,0.86,0.53,2784818
2011-07-05,0.86,0.86,0.85,0.85,0.52,1800142
2011-07-06,0.85,0.86,0.85,0.85,0.52,2138561
2011-07-07,0.86,0.86,0.85,0.86,0.53,7924296
2011-07-08,0.86,0.87,0.86,0.86,0.53,4623695
2011-07-11,0.86,0.86,0.86,0.86,0.53,2125310
2011-07-12,0.86,0.86,0.85,0.85,0.52,2787876
2011-07-13,0.85,0.86,0.85,0.85,0.52,2512656
2011-07-14,0.85,0.86,0.85,0.86,0.53,1020352
2011-07-15,0.86,0.86,0.85,0.85,0.52,2647208
2011-07-18,0.85,0.86,0.85,0.85,0.52,3714450
2011-07-19,0.85,0.86,0.84,0.86,0.53,4911147
2011-07-20,0.86,0.86,0.85,0.85,0.52,1068261
2011-07-21,0.86,0.86,0.85,0.86,0.53,1364887
2011-07-22,0.86,0.87,0.86,0.87,0.53,2701233
2011-07-25,0.86,0.87,0.86,0.86,0.53,1116170
2011-07-26,0.86,0.87,0.86,0.87,0.53,3070231
2011-07-27,0.87,0.87,0.86,0.87,0.53,2313886
2011-07-28,0.87,0.87,0.86,0.87,0.54,3588053
2011-07-29,0.87,0.89,0.87,0.88,0.54,10352347
2011-08-01,0.88,0.89,0.87,0.88,0.54,5239372
2011-08-02,0.88,0.88,0.86,0.86,0.54,3696102
2011-08-03,0.86,0.86,0.85,0.85,0.53,7425842
2011-08-04,0.85,0.86,0.85,0.86,0.54,3036593
2011-08-05,0.84,0.85,0.83,0.84,0.52,4472834
2011-08-08,0.84,0.84,0.79,0.81,0.5,11057726
2011-08-10,0.83,0.83,0.79,0.79,0.49,9343207
2011-08-11,0.79,0.82,0.77,0.8,0.5,4452447
2011-08-12,0.82,0.83,0.81,0.81,0.5,4297508
2011-08-15,0.81,0.83,0.81,0.83,0.51,1363868
2011-08-16,0.83,0.83,0.82,0.82,0.51,1287418
2011-08-17,0.82,0.83,0.81,0.82,0.51,1491284
2011-08-18,0.82,0.82,0.81,0.81,0.51,455642
2011-08-19,0.81,0.81,0.8,0.8,0.5,3177261
2011-08-22,0.8,0.8,0.78,0.79,0.49,1847032
2011-08-23,0.79,0.82,0.79,0.81,0.51,4091603
2011-08-24,0.81,0.82,0.79,0.79,0.49,1881689
2011-08-25,0.8,0.81,0.8,0.8,0.5,1862322
2011-08-26,0.8,0.81,0.8,0.8,0.5,414869
2011-08-29,0.81,0.82,0.8,0.82,0.51,1013217
2011-08-31,0.82,0.83,0.81,0.82,0.51,2541197
2011-09-01,0.83,0.85,0.82,0.84,0.52,4604328
2011-09-02,0.83,0.86,0.83,0.85,0.53,4311779
2011-09-05,0.84,0.85,0.83,0.84,0.52,3113043
2011-09-06,0.83,0.84,0.83,0.84,0.52,1286398
2011-09-07,0.84,0.84,0.83,0.83,0.52,1229316
2011-09-08,0.83,0.85,0.83,0.84,0.52,3645135
2011-09-09,0.84,0.85,0.84,0.85,0.53,2348544
2011-09-12,0.85,0.85,0.83,0.84,0.52,4229213
2011-09-13,0.84,0.84,0.83,0.83,0.51,3506506
2011-09-14,0.83,0.84,0.83,0.83,0.51,2062111
2011-09-15,0.83,0.83,0.82,0.83,0.51,3409669
2011-09-16,0.83,0.86,0.83,0.86,0.53,7987494
2011-09-19,0.85,0.85,0.84,0.85,0.53,2714484
2011-09-20,0.84,0.85,0.84,0.85,0.53,3699160
2011-09-21,0.85,0.85,0.84,0.84,0.52,1671706
2011-09-22,0.84,0.84,0.82,0.83,0.51,1962216
2011-09-23,0.82,0.83,0.82,0.83,0.51,912303
2011-09-26,0.82,0.82,0.78,0.81,0.5,5384118
2011-09-27,0.83,0.83,0.81,0.81,0.51,1398525
2011-09-28,0.81,0.82,0.8,0.81,0.51,1794026
2011-09-29,0.81,0.81,0.8,0.81,0.51,293568
2011-09-30,0.8,0.81,0.79,0.8,0.5,1720634
2011-10-03,0.79,0.8,0.78,0.8,0.5,3581937
2011-10-04,0.78,0.79,0.78,0.78,0.48,4365804
2011-10-05,0.78,0.79,0.78,0.78,0.49,801196
2011-10-06,0.78,0.79,0.78,0.78,0.49,1913288
2011-10-07,0.79,0.8,0.79,0.8,0.5,1563657
2011-10-10,0.8,0.81,0.8,0.81,0.5,475009
2011-10-11,0.81,0.82,0.81,0.82,0.51,1668648
2011-10-12,0.81,0.81,0.79,0.8,0.5,1116170
2011-10-13,0.8,0.82,0.8,0.81,0.51,1266012
2011-10-14,0.81,0.83,0.81,0.83,0.51,377153
2011-10-17,0.83,0.84,0.82,0.84,0.52,1648262
2011-10-18,0.83,0.83,0.82,0.83,0.52,1102918
2011-10-19,0.84,0.85,0.83,0.84,0.52,825660
2011-10-20,0.83,0.84,0.82,0.83,0.51,1673745
2011-10-21,0.82,0.83,0.82,0.83,0.51,270123
2011-10-24,0.83,0.85,0.83,0.83,0.52,1307804
2011-10-25,0.84,0.84,0.83,0.84,0.52,1126363
2011-10-27,0.84,0.84,0.84,0.84,0.52,2374027
2011-10-28,0.84,0.85,0.84,0.85,0.53,1448472
2011-10-31,0.85,0.85,0.85,0.85,0.53,1610546
2011-11-01,0.85,0.85,0.84,0.84,0.52,1167136
2011-11-02,0.83,0.84,0.83,0.83,0.53,4224116
2011-11-03,0.83,0.84,0.83,0.83,0.53,1992796
2011-11-04,0.84,0.84,0.84,0.84,0.53,600387
2011-11-08,0.84,0.85,0.84,0.84,0.53,1450511
2011-11-09,0.84,0.84,0.84,0.84,0.53,493357
2011-11-10,0.83,0.84,0.83,0.84,0.53,1349597
2011-11-11,0.84,0.85,0.84,0.84,0.53,866433
2011-11-14,0.85,0.85,0.84,0.85,0.54,1029526
2011-11-15,0.84,0.85,0.84,0.85,0.54,1007101
2011-11-16,0.84,0.85,0.84,0.84,0.53,1134518
2011-11-17,0.84,0.84,0.82,0.83,0.52,5690937
2011-11-18,0.83,0.84,0.82,0.84,0.53,1707383
2011-11-21,0.84,0.84,0.82,0.83,0.52,2413781
2011-11-22,0.83,0.84,0.83,0.83,0.53,2049879
2011-11-23,0.83,0.84,0.83,0.83,0.53,1411776
2011-11-24,0.84,0.84,0.83,0.84,0.53,1779756
2011-11-25,0.83,0.84,0.83,0.83,0.52,1492304
2011-11-28,0.83,0.84,0.83,0.84,0.53,2074343
2011-11-29,0.84,0.84,0.83,0.84,0.53,2465767
2011-11-30,0.84,0.86,0.83,0.86,0.54,6863170
2011-12-01,0.85,0.86,0.84,0.84,0.53,2018280
2011-12-02,0.84,0.85,0.84,0.85,0.54,220176
2011-12-05,0.85,0.86,0.85,0.86,0.54,2575855
2011-12-06,0.86,0.86,0.84,0.85,0.54,233427
2011-12-07,0.85,0.85,0.84,0.85,0.54,736978
2011-12-08,0.84,0.86,0.84,0.86,0.54,1317998
2011-12-09,0.85,0.86,0.84,0.85,0.54,1677822
2011-12-12,0.85,0.85,0.84,0.84,0.53,1114131
2011-12-13,0.84,0.85,0.83,0.84,0.53,387347
2011-12-14,0.84,0.85,0.83,0.84,0.53,590194
2011-12-15,0.83,0.83,0.82,0.82,0.52,1037681
2011-12-16,0.82,0.83,0.82,0.82,0.52,1865380
2011-12-19,0.82,0.83,0.81,0.81,0.51,1515748
2011-12-20,0.81,0.82,0.81,0.81,0.51,458700
2011-12-21,0.81,0.82,0.81,0.82,0.52,1394448
2011-12-22,0.82,0.83,0.82,0.83,0.52,990792
2011-12-23,0.83,0.83,0.82,0.82,0.52,36696
2011-12-27,0.82,0.83,0.82,0.83,0.53,137610
2011-12-28,0.83,0.84,0.82,0.83,0.52,368999
2011-12-29,0.82,0.83,0.82,0.83,0.52,451565
2011-12-30,0.83,0.84,0.83,0.83,0.53,1064184
2012-01-03,0.83,0.84,0.83,0.84,0.53,1071319
2012-01-04,0.84,0.84,0.84,0.84,0.53,472971
2012-01-05,0.84,0.84,0.83,0.84,0.53,984676
2012-01-06,0.84,0.84,0.83,0.84,0.53,261969
2012-01-09,0.83,0.84,0.83,0.84,0.53,389385
2012-01-10,0.84,0.84,0.83,0.84,0.53,695185
2012-01-11,0.83,0.84,0.83,0.84,0.53,729843
2012-01-12,0.84,0.84,0.84,0.84,0.53,989772
2012-01-13,0.84,0.84,0.84,0.84,0.53,1123305
2012-01-16,0.84,0.85,0.84,0.84,0.53,331283
2012-01-17,0.85,0.85,0.84,0.84,0.53,2818456
2012-01-18,0.84,0.85,0.84,0.84,0.53,406714
2012-01-19,0.85,0.85,0.84,0.84,0.53,394482
2012-01-20,0.84,0.84,0.84,0.84,0.53,479087
2012-01-25,0.85,0.85,0.84,0.85,0.54,912303
2012-01-26,0.85,0.85,0.84,0.85,0.54,1158982
2012-01-27,0.85,0.85,0.84,0.85,0.54,1608508
2012-01-30,0.85,0.85,0.84,0.85,0.54,1949984
2012-01-31,0.85,0.85,0.84,0.85,0.54,3053922
2012-02-01,0.85,0.86,0.85,0.85,0.54,2924467
2012-02-02,0.85,0.86,0.85,0.86,0.54,7057863
2012-02-03,0.86,0.86,0.86,0.86,0.54,4948862
2012-02-06,0.86,0.86,0.84,0.85,0.54,4177227
2012-02-07,0.85,0.85,0.84,0.85,0.54,2440284
2012-02-08,0.85,0.86,0.85,0.85,0.54,1827664
2012-02-09,0.85,0.85,0.84,0.84,0.54,3124256
2012-02-10,0.84,0.85,0.84,0.85,0.55,1931636
2012-02-13,0.85,0.85,0.85,0.85,0.54,1328191
2012-02-14,0.85,0.85,0.84,0.85,0.55,2751180
2012-02-15,0.85,0.85,0.84,0.84,0.54,3575821
2012-02-16,0.85,0.85,0.84,0.85,0.54,493357
2012-02-17,0.85,0.85,0.84,0.84,0.54,1527980
2012-02-20,0.85,0.86,0.84,0.85,0.54,5050796
2012-02-21,0.85,0.85,0.85,0.85,0.54,561653
2012-02-22,0.85,0.85,0.84,0.85,0.55,915361
2012-02-23,0.85,0.85,0.85,0.85,0.55,877646
2012-02-24,0.85,0.85,0.85,0.85,0.55,751249
2012-02-27,0.85,0.85,0.85,0.85,0.54,783867
2012-02-28,0.85,0.86,0.85,0.85,0.55,8451291
2012-02-29,0.86,0.86,0.85,0.85,0.55,2542217
2012-03-01,0.85,0.85,0.85,0.85,0.54,766539
2012-03-02,0.85,0.86,0.85,0.85,0.55,3280214
2012-03-05,0.85,0.86,0.85,0.86,0.55,2970337
2012-03-06,0.86,0.86,0.83,0.86,0.55,5783696
2012-03-07,0.85,0.86,0.85,0.85,0.55,2417858
2012-03-08,0.85,0.86,0.85,0.86,0.55,2723658
2012-03-09,0.86,0.86,0.85,0.85,0.55,2810301
2012-03-12,0.86,0.86,0.85,0.85,0.54,1255818
2012-03-13,0.86,0.86,0.85,0.86,0.55,2497366
2012-03-14,0.86,0.86,0.85,0.86,0.55,1603411
2012-03-15,0.85,0.86,0.85,0.86,0.55,2791953
2012-03-16,0.86,0.86,0.85,0.86,0.55,9191327
2012-03-19,0.86,0.87,0.86,0.86,0.55,1778736
2012-03-20,0.86,0.87,0.86,0.87,0.56,3107947
2012-03-21,0.87,0.87,0.86,0.87,0.56,1126363
2012-03-22,0.87,0.87,0.86,0.87,0.56,1025449
2012-03-23,0.86,0.87,0.86,0.87,0.56,3327103
2012-03-26,0.87,0.87,0.87,0.87,0.56,1608508
2012-03-27,0.87,0.87,0.86,0.87,0.56,1920424
2012-03-28,0.87,0.87,0.87,0.87,0.56,882742
2012-03-29,0.87,0.87,0.86,0.86,0.55,3167068
2012-03-30,0.86,0.87,0.86,0.86,0.55,1371003
2012-04-02,0.86,0.87,0.86,0.87,0.56,585097
2012-04-03,0.87,0.87,0.86,0.86,0.55,528015
2012-04-04,0.87,0.87,0.86,0.86,0.55,2531004
2012-04-05,0.86,0.86,0.86,0.86,0.55,1314940
2012-04-09,0.86,0.87,0.86,0.86,0.55,1101899
2012-04-10,0.86,0.87,0.86,0.86,0.55,1461724
2012-04-11,0.86,0.87,0.86,0.87,0.56,1082532
2012-04-12,0.86,0.87,0.86,0.86,0.55,2229282
2012-04-13,0.86,0.87,0.86,0.87,0.56,1616662
2012-04-16,0.87,0.87,0.87,0.87,0.56,1848051
2012-04-17,0.87,0.87,0.87,0.87,0.56,1636030
2012-04-18,0.87,0.88,0.87,0.87,0.56,3610478
2012-04-19,0.87,0.88,0.87,0.88,0.56,1115150
2012-04-20,0.87,0.88,0.87,0.87,0.56,1143692
2012-04-23,0.88,0.88,0.87,0.87,0.56,860317
2012-04-24,0.87,0.88,0.87,0.88,0.56,1206890
2012-04-25,0.88,0.88,0.87,0.88,0.56,1562638
2012-04-26,0.88,0.88,0.88,0.88,0.57,1494342
2012-04-27,0.88,0.89,0.88,0.89,0.57,7985456
2012-04-30,0.89,0.89,0.88,0.89,0.57,9379903
2012-05-02,0.89,0.9,0.89,0.9,0.58,7663346
