Date,Open,High,Low,Close,Adj Close,Volume
2007-11-06,0.89,0.9,0.88,0.9,0.37,910186.0
2007-11-07,0.9,0.9,0.88,0.88,0.37,441031.0
2007-11-09,0.9,0.9,0.88,0.88,0.37,658351.0
2007-11-12,0.88,0.88,0.85,0.86,0.36,988165.0
2007-11-13,0.86,0.88,0.86,0.88,0.36,1154351.0
2007-11-14,0.88,0.88,0.86,0.88,0.36,1044413.0
2007-11-15,0.88,0.88,0.86,0.87,0.36,352825.0
2007-11-16,0.85,0.85,0.84,0.85,0.35,777237.0
2007-11-19,0.84,0.84,0.82,0.84,0.35,1548083.0
2007-11-20,0.82,0.85,0.81,0.85,0.35,2765073.0
2007-11-21,0.84,0.84,0.81,0.82,0.34,1822929.0
2007-11-22,0.78,0.81,0.78,0.81,0.34,3659919.0
2007-11-23,0.81,0.82,0.81,0.81,0.34,855217.0
2007-11-26,0.81,0.82,0.81,0.82,0.34,580371.0
2007-11-27,0.79,0.81,0.79,0.81,0.34,2021073.0
2007-11-28,0.81,0.81,0.79,0.79,0.33,1119835.0
2007-11-29,0.81,0.81,0.8,0.81,0.34,1415135.0
2007-11-30,0.79,0.83,0.79,0.81,0.34,1224660.0
2007-12-03,0.82,0.83,0.82,0.82,0.34,193031.0
2007-12-04,0.83,0.83,0.82,0.83,0.35,833485.0
2007-12-05,0.82,0.83,0.82,0.82,0.34,338763.0
2007-12-06,0.84,0.84,0.81,0.81,0.34,2591217.0
2007-12-07,0.82,0.83,0.82,0.83,0.35,325980.0
2007-12-10,0.83,0.84,0.82,0.83,0.35,832207.0
2007-12-11,0.83,0.86,0.83,0.85,0.35,761897.0
2007-12-12,0.86,0.86,0.84,0.84,0.35,600825.0
2007-12-13,0.83,0.85,0.83,0.84,0.35,908908.0
2007-12-14,0.85,0.86,0.84,0.84,0.35,611052.0
2007-12-17,0.84,0.84,0.83,0.84,0.35,1015011.0
2007-12-18,0.84,0.85,0.84,0.85,0.35,814310.0
2007-12-19,0.86,0.89,0.86,0.89,0.37,2398186.0
2007-12-21,0.9,0.9,0.84,0.88,0.36,6063219.0
2007-12-24,0.88,0.89,0.88,0.88,0.37,980495.0
2007-12-26,0.89,0.89,0.88,0.89,0.37,328536.0
2007-12-27,0.89,0.89,0.88,0.88,0.37,685196.0
2007-12-28,0.88,0.88,0.86,0.87,0.36,836042.0
2007-12-31,0.88,0.88,0.86,0.86,0.36,149567.0
2008-01-02,0.88,0.88,0.85,0.86,0.36,568866.0
2008-01-03,0.85,0.87,0.84,0.85,0.35,613608.0
2008-01-04,0.85,0.85,0.83,0.83,0.35,1379341.0
2008-01-07,0.83,0.83,0.81,0.82,0.34,1323093.0
2008-01-08,0.84,0.84,0.82,0.84,0.35,2546475.0
2008-01-09,0.83,0.85,0.83,0.85,0.35,2152743.0
2008-01-10,0.85,0.86,0.83,0.83,0.35,663464.0
2008-01-11,0.85,0.85,0.83,0.84,0.35,1078928.0
2008-01-14,0.84,0.84,0.83,0.84,0.35,768289.0
2008-01-15,0.84,0.84,0.82,0.82,0.34,744000.0
2008-01-16,0.82,0.82,0.81,0.81,0.34,2867341.0
2008-01-17,0.81,0.82,0.81,0.81,0.34,933196.0
2008-01-18,0.81,0.81,0.8,0.8,0.33,4797651.0
2008-01-21,0.8,0.8,0.78,0.8,0.33,4067713.0
2008-01-22,0.78,0.78,0.75,0.76,0.32,2901857.0
2008-01-23,0.77,0.79,0.76,0.77,0.32,3659919.0
2008-01-24,0.76,0.79,0.76,0.77,0.32,5857404.0
2008-01-25,0.78,0.79,0.75,0.78,0.33,3762187.0
2008-01-28,0.78,0.8,0.77,0.78,0.33,1250227.0
2008-01-29,0.78,0.79,0.78,0.79,0.33,465320.0
2008-01-30,0.81,0.81,0.81,0.81,0.34,2805980.0
2008-01-31,0.81,0.83,0.81,0.83,0.35,3786476.0
2008-02-01,0.83,0.85,0.83,0.84,0.35,1805032.0
2008-02-04,0.84,0.84,0.81,0.81,0.34,216041.0
2008-02-05,0.82,0.83,0.81,0.82,0.35,1085320.0
2008-02-06,0.82,0.84,0.81,0.83,0.35,626392.0
2008-02-11,0.84,0.84,0.84,0.84,0.36,1797362.0
2008-02-12,0.84,0.85,0.84,0.85,0.36,1091712.0
2008-02-13,0.85,0.85,0.84,0.84,0.36,4262022.0
2008-02-14,0.84,0.84,0.83,0.83,0.35,1782021.0
2008-02-15,0.84,0.84,0.82,0.83,0.35,1681032.0
2008-02-18,0.84,0.84,0.84,0.84,0.36,479382.0
2008-02-19,0.96,0.96,0.84,0.96,0.41,0.0
2008-02-20,0.92,1.02,0.92,0.92,0.39,16755347.0
2008-02-21,0.93,0.95,0.92,0.94,0.4,5141528.0
2008-02-22,0.92,0.95,0.92,0.94,0.4,3261073.0
2008-02-25,0.95,0.99,0.95,0.99,0.42,6508085.0
2008-02-26,0.99,1.01,0.98,0.98,0.41,5351177.0
2008-02-27,0.97,0.99,0.95,0.98,0.41,4827053.0
2008-02-28,0.97,0.98,0.96,0.98,0.41,4591837.0
2008-02-29,0.98,0.98,0.95,0.96,0.41,4246682.0
2008-03-03,0.94,0.95,0.94,0.95,0.4,2024908.0
2008-03-04,0.95,0.96,0.92,0.94,0.4,3638187.0
2008-03-05,0.94,0.94,0.92,0.92,0.39,3607507.0
2008-03-06,0.92,0.93,0.92,0.93,0.39,1477774.0
2008-03-07,0.92,0.93,0.91,0.91,0.38,2992620.0
2008-03-10,0.91,0.91,0.9,0.9,0.38,1884289.0
2008-03-11,0.89,0.91,0.89,0.9,0.38,1860001.0
2008-03-12,0.92,0.95,0.9,0.95,0.4,6215343.0
2008-03-13,0.96,0.96,0.94,0.95,0.4,11769778.0
2008-03-14,0.95,0.98,0.95,0.97,0.41,7304498.0
2008-03-17,0.94,0.94,0.93,0.94,0.4,4627631.0
2008-03-18,0.93,0.94,0.9,0.92,0.39,2266516.0
2008-03-19,0.93,0.93,0.93,0.93,0.39,2068372.0
2008-03-20,0.93,0.94,0.92,0.93,0.39,3466888.0
2008-03-24,0.93,0.95,0.93,0.95,0.4,1991671.0
2008-03-25,0.95,0.96,0.94,0.95,0.4,2102887.0
2008-03-26,0.95,0.95,0.92,0.94,0.4,3392744.0
2008-03-27,0.95,0.95,0.94,0.95,0.4,666021.0
2008-03-28,0.96,0.97,0.95,0.96,0.41,1512289.0
2008-03-31,0.96,0.97,0.95,0.96,0.41,1283464.0
2008-04-01,0.97,0.98,0.96,0.96,0.41,1669526.0
2008-04-02,0.97,0.98,0.96,0.96,0.41,2023630.0
2008-04-03,0.97,0.97,0.95,0.96,0.41,795134.0
2008-04-04,0.96,0.97,0.95,0.96,0.41,317031.0
2008-04-07,0.97,0.97,0.96,0.97,0.41,1046969.0
2008-04-08,0.97,0.98,0.95,0.95,0.4,4440991.0
2008-04-09,0.97,0.99,0.96,0.99,0.42,3163919.0
2008-04-10,0.98,0.99,0.97,0.99,0.42,2226887.0
2008-04-11,0.98,0.99,0.98,0.99,0.42,2481279.0
2008-04-14,0.98,0.99,0.96,0.97,0.41,1659300.0
2008-04-15,0.98,0.98,0.96,0.98,0.41,714598.0
2008-04-16,0.96,0.97,0.95,0.95,0.4,2350887.0
2008-04-17,0.95,0.99,0.95,0.98,0.41,1424083.0
2008-04-18,0.99,0.99,0.97,0.99,0.42,970268.0
2008-04-21,0.99,0.99,0.97,0.97,0.41,425691.0
2008-04-22,0.96,0.98,0.96,0.98,0.41,605938.0
2008-04-23,0.97,0.98,0.97,0.98,0.41,798969.0
2008-04-24,0.97,0.98,0.96,0.97,0.41,1762846.0
2008-04-25,0.97,0.97,0.96,0.97,0.41,714598.0
2008-04-28,0.98,0.98,0.96,0.97,0.41,256949.0
2008-04-29,0.98,0.98,0.95,0.97,0.41,1309031.0
2008-04-30,0.95,0.98,0.95,0.96,0.41,1436867.0
