Date,Open,High,Low,Close,Adj Close,Volume
2013-07-24,0.98,1.0,0.98,0.99,0.69,121952000
2013-07-25,0.99,0.99,0.98,0.98,0.69,43628000
2013-07-26,0.99,0.99,0.99,0.99,0.69,17029000
2013-07-29,0.99,1.0,0.99,0.99,0.69,18717000
2013-07-30,0.99,0.99,0.99,0.99,0.69,6068000
2013-07-31,0.99,0.99,0.98,0.98,0.69,11249000
2013-08-01,0.98,0.99,0.98,0.99,0.69,8562000
2013-08-02,0.99,1.0,0.99,0.99,0.69,19628000
2013-08-05,0.99,0.99,0.99,0.99,0.69,12673000
2013-08-06,0.99,0.99,0.99,0.99,0.69,2890000
2013-08-07,0.99,0.99,0.98,0.99,0.69,7343000
2013-08-12,0.99,0.99,0.99,0.99,0.69,706000
2013-08-13,0.99,0.99,0.98,0.99,0.69,3071000
2013-08-14,0.99,0.99,0.98,0.99,0.69,1181000
2013-08-15,0.99,0.99,0.98,0.98,0.69,2540000
2013-08-16,0.98,0.99,0.98,0.98,0.69,4377000
2013-08-19,0.97,0.98,0.96,0.96,0.68,2769000
2013-08-20,0.97,0.98,0.96,0.96,0.68,1456000
2013-08-21,0.96,0.97,0.94,0.94,0.66,7036000
2013-08-22,0.94,0.95,0.94,0.95,0.66,5357000
2013-08-23,0.95,0.96,0.95,0.95,0.67,2032000
2013-08-26,0.96,0.96,0.95,0.95,0.67,2933000
2013-08-27,0.95,0.96,0.95,0.95,0.67,4577000
2013-08-28,0.95,0.95,0.94,0.95,0.66,3216000
2013-08-29,0.95,0.95,0.95,0.95,0.66,768000
2013-08-30,0.95,0.95,0.95,0.95,0.67,1040000
2013-09-02,0.95,0.95,0.95,0.95,0.67,1032000
2013-09-03,0.95,0.95,0.95,0.95,0.66,1563000
2013-09-04,0.95,0.95,0.94,0.94,0.66,1853000
2013-09-05,0.94,0.95,0.94,0.94,0.66,5246000
2013-09-06,0.94,0.95,0.94,0.94,0.66,497000
2013-09-09,0.95,0.95,0.94,0.95,0.66,483000
2013-09-10,0.95,0.96,0.95,0.96,0.67,926000
2013-09-11,0.96,0.96,0.95,0.96,0.68,594000
2013-09-12,0.96,0.96,0.96,0.96,0.67,497000
2013-09-13,0.96,0.96,0.96,0.96,0.68,161000
2013-09-16,0.96,0.97,0.96,0.96,0.68,913000
2013-09-17,0.96,0.96,0.96,0.96,0.68,1032000
2013-09-18,0.97,0.97,0.96,0.96,0.67,748000
2013-09-19,0.97,0.98,0.96,0.97,0.68,1293000
2013-09-20,0.97,0.98,0.96,0.98,0.68,1748000
2013-09-23,0.97,0.98,0.97,0.97,0.68,1563000
2013-09-24,0.97,0.97,0.96,0.97,0.68,1072000
2013-09-25,0.97,0.98,0.96,0.97,0.68,2412000
2013-09-26,0.97,0.97,0.96,0.97,0.68,441000
2013-09-27,0.97,0.98,0.96,0.98,0.68,546000
2013-09-30,0.97,0.98,0.96,0.98,0.68,268000
2013-10-01,0.98,0.98,0.96,0.98,0.68,337000
2013-10-02,0.97,0.98,0.96,0.98,0.68,535000
